Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-1;0-1;1-1;2-0;2-0;bv. 2-1
Club Brugge;3-1;/;1-2;2-0;1-0;1-1;
Union;4-3;1-1;/;2-0;3-1;2-0;
Anderlecht;1-2;0-1;1-2;/;1-0;2-0;
Gent;0-2;1-2;0-1;1-1;/;1-0;
Antwerp;1-1;0-1;0-0;2-1;1-2;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-0;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Union;(ploeg);;;;;
Topscorer POI;Ivanovic;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Union;(ploeg);;;;;
Minste goals tegen POI;Club Brugge;(ploeg);;;;;
Kampioen;Union;(ploeg);;;;;
