Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;1-2;3-1;2-1;2-1;2-1;bv. 2-1
Club Brugge;2-1;/;2-1;3-1;2-1;1-0;
Union;1-1;0-2;/;2-1;2-0;1-0;
Anderlecht;1-1;0-2;1-2;/;1-0;2-0;
Gent;2-1;0-1;1-2;1-1;/;1-0;
Antwerp;0-2;0-1;1-2;2-1;1-0;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Jutgla;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Club Brugge;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
