Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;1-0;1-0;1-0;1-0;1-0;bv. 2-1
Club Brugge;0-1;/;1-0;1-0;1-0;1-0;
Union;0-1;0-1;/;1-0;1-0;1-0;
Anderlecht;0-1;0-1;0-1;/;1-0;1-0;
Gent;0-1;0-1;0-1;0-1;/;1-0;
Antwerp;0-1;0-1;0-1;0-1;0-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge; 2-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Genk;(ploeg);;;;;
Topscorer POI;Vanaken;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Moris;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Genk;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
