Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;1-2;1-1;2-1;1-1;2-0;bv. 2-1
Club Brugge;2-2;/;3-3;2-1;1-0;1-1;
Union;1-1;2-3;/;2-1;3-2;3-0;
Anderlecht;0-2;1-2;0-1;/;0-2;0-1;
Gent;0-1;1-1;0-0;2-1;/;2-2;
Antwerp;2-1;2-0;1-2;2-1;1-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Genk;(ploeg);;;;;
Topscorer POI;Promise;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Union;(ploeg);;;;;
Minste goals tegen POI;Antwerp;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
