Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;3-2;4-1;4-1;3-1;2-3;bv. 2-1
Club Brugge;2-1;/;0-1;3-0;2-0;0-0;
Union;1-1;2-2;/;4-0;3-1;1-2;
Anderlecht;0-3;1-3;2-4;/;1-2;2-4;
Gent;1-2;2-1;0-0;0-1;/;0-2;
Antwerp;1-1;3-2;2-0;3-0;0-0;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Antwerp;(ploeg);;;;;
Topscorer POI;Janssen;(speler);;;;;
Assistenkoning POI;Chery;(speler);;;;;
Meeste Clean Sheats POI;Lammens;(keeper);;;;;
Meeste gemaakte goals POI;Antwerp;(ploeg);;;;;
Minste goals tegen POI;Antwerp;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
