Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;3-2;2-0;1-1;2-1;2-0;bv. 2-1
Club Brugge;2-1;/;1-0;1-1;2-0;2-2;
Union;1-2;2-2;/;2-0;2-0;1-1;
Anderlecht;2-0;1-1;2-1;/;2-0;2-0;
Gent;0-1;1-3;0-1;0-2;/;1-1;
Antwerp;2-2;1-2;0-0;0-1;2-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;1-2;;;;;;
;;;;;;;
Bekerwinnaar;Anderlecht;(ploeg);;;;;
Beste ploeg van POI;Genk;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Hans;(speler);;;;;
Meeste Clean Sheats POI;Coosemans;(keeper);;;;;
Meeste gemaakte goals POI;Genk;(ploeg);;;;;
Minste goals tegen POI;Anderlecht;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
