Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-2;3-1;3-0;3-0;3-2;bv. 2-1
Club Brugge;2-1;/;2-0;3-0;2-1;2-0;
Union;1-1;1-2;/;2-2;2-0;1-1;
Anderlecht;1-2;0-2;2-2;/;2-0;2-2;
Gent;0-3;1-3;0-1;1-2;/;0-3;
Antwerp;1-3;0-2;2-2;2-1;2-0;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-0;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Vanaken;(speler);;;;;
Assistenkoning POI;Tzolis;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Genk;(ploeg);;;;;
Minste goals tegen POI;Antwerp;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
