Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;0-1;2-2;2-1;1-1;2-2;bv. 2-1
Club Brugge;3-0;/;3-0;1-0;3-2;1-0;
Union;1-1;0-0;/;0-0;0-1;2-1;
Anderlecht;3-2;1-3;1-3;/;4-3;0-1;
Gent;0-2;0-4;0-2;0-0;/;2-0;
Antwerp;1-2;2-6;0-0;2-2;2-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;3-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;;;;;;
Beste ploeg van POI;Club Brugge;;;;;;
Topscorer POI;Jutgla;;;;;;
Assistenkoning POI;Vanaken;;;;;;
Meeste Clean Sheats POI;Mignolet;;;;;;
Meeste gemaakte goals POI;Club Brugge;;;;;;
Minste goals tegen POI;Union;;;;;;
Kampioen;Club Brugge;;;;;;
