Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;0-1;1-0;2-0;2-1;1-0;bv. 2-1
Club Brugge;2-1;/;2-1;4-1;1-0;1-0;
Union;1-0;0-1;/;2-0;1-0;1-1;
Anderlecht;0-1;0-3;0-1;/;0-1;0-1;
Gent;0-1;0-1;2-2;1-0;/;0-1;
Antwerp;1-1;0-1;1-1;1-0;2-2;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;3-0;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Jutgla;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Club Brugge;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
