Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-0;3-2;1-0;3-0;0-0;bv. 2-1
Club Brugge;1-0;/;2-2;1-0;3-1;1-1;
Union;2-1;0-2;/;2-1;2-0;0-0;
Anderlecht;2-4;0-1;0-1;/;0-2;2-1;
Gent;0-2;0-2;0-2;1-1;/;1-3;
Antwerp;0-0;2-1;0-3;0-1;2-0;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;;;;;;
Beste ploeg van POI;Club Brugge;;;;;;
Topscorer POI;Tolu;;;;;;
Assistenkoning POI;Heynen;;;;;;
Meeste Clean Sheats POI;Penders;;;;;;
Meeste gemaakte goals POI;Club Brugge;;;;;;
Minste goals tegen POI;Union;;;;;;
Kampioen;Genk;;;;;;
