Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-2;3-1;3-2;3-2;2-0;bv. 2-1
Club Brugge;1-1;/;2-0;1-1;2-0;2-0;
Union;1-3;1-2;/;2-0;2-1;2-1;
Anderlecht;2-1;1-2;1-2;/;1-1;2-0;
Gent;0-2;1-2;2-2;1-1;/;1-0;
Antwerp;1-2;0-1;1-1;1-2;0-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Union;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
