Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-2;3-3;4-1;4-1;4-0;bv. 2-1
Club Brugge;1-0;/;2-2;3-2;2-0;3-1;
Union;2-1;0-1;/;2-1;2-0;3-0;
Anderlecht;1-0;2-2;0-3;/;2-3;2-1;
Gent;1-1;0-0;1-1;3-1;/;4-2;
Antwerp;1-3;0-2;1-1;1-0;1-2;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;3-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Morris;(keeper);;;;;
Meeste gemaakte goals POI;Genk;(ploeg);;;;;
Minste goals tegen POI;Union;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
