Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;1-1;2-1;2-0;2-0;2-1;bv. 2-1
Club Brugge;1-1;/;1-1;2-1;2-1;1-1;
Union;1-1;0-1;/;1-0;2-0;2-1;
Anderlecht;1-2;1-1;0-1;/;1-1;1-1;
Gent;1-2;1-1;1-1;1-1;/;1-2;
Antwerp;1-2;1-1;1-2;1-1;2-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;1-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;;;;;;
Beste ploeg van POI;Genk;;;;;;
Topscorer POI;Tolu;;;;;;
Assistenkoning POI;Vanaken;;;;;;
Meeste Clean Sheats POI;Penders;;;;;;
Meeste gemaakte goals POI;Genk;;;;;;
Minste goals tegen POI;Union;;;;;;
Kampioen;Genk;;;;;;
