Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;3-1;2-2;1-1;2-0;1-1;bv. 2-1
Club Brugge;0-0;/;3-2;2-0;3-1;3-2;
Union;1-0;2-2;/;1-1;0-1;2-2;
Anderlecht;1-1;2-2;1-0;/;2-2;3-3;
Gent;2-2;1-2;2-2;3-1;/;1-1;
Antwerp;2-2;0-1;0-0;3-2;1-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-2;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Jutgla;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Club Brugge;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
