Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp
Genk;/;1-1;3-1;0-0;3-0;2-1
Club Brugge;2-2;/;2-1;1-1;4-2;2-0
Union;1-2;0-1;/;0-0;3-1;2-1
Anderlecht;3-2;2-3;1-1;/;2-0;2-1
Gent;1-2;1-0;0-2;1-1;/;0-0
Antwerp;1-3;1-2;1-2;3-3;3-0;/
;;;;;;
Bekerfinale;Anderlecht;;;;;
Club Brugge;2-2;;;;;
;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;
Topscorer POI;Jutgla;(speler);;;;
Assistenkoning POI;Onyedika;(speler);;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;
Meeste gemaakte goals POI;Genk;(ploeg);;;;
Minste goals tegen POI;Union;(ploeg);;;;
Kampioen;Club Brugge;(ploeg);;;;
