Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-0;2-1;2-4;4-0;3-1;bv. 2-1
Club Brugge;1-2;/;1-1;2-3;3-1;2-2;
Union;3-1;2-2;/;1-3;0-0;0-4;
Anderlecht;2-1;2-3;4-3;/;2-2;4-2;
Gent;1-1;0-2;3-3;2-5;/;1-3;
Antwerp;0-1;2-1;1-1;3-2;2-3;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;1-3;;;;;;
;;;;;;;
Bekerwinnaar;Anderlecht;(ploeg);;;;;
Beste ploeg van POI;Genk;(ploeg);;;;;
Topscorer POI;Kasper Dolberg;(speler);;;;;
Assistenkoning POI;Hans Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Simon Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Genk;(ploeg);;;;;
Minste goals tegen POI;Antwerp;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
