Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-1;2-0;1-0;0-0;3-1;bv. 2-1
Club Brugge;0-1;/;1-1;2-3;2-1;2-0;
Union;1-1;1-1;/;1-1;2-0;2-2;
Anderlecht;1-2;1-1;1-2;/;2-1;2-0;
Gent;1-1;1-0;1-2;1-2;/;1-1;
Antwerp;3-1;1-1;1-2;1-2;3-0;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;0-2;;;;;;
;;;;;;;
Bekerwinnaar;Anderlecht;(ploeg);;;;;
Beste ploeg van POI;Genk;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Hans Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Van Crombrugge;(keeper);;;;;
Meeste gemaakte goals POI;Genk;(ploeg);;;;;
Minste goals tegen POI;Club Brugge;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
