Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;1-2;2-2;1-1;3-0;1-2;bv. 2-1
Club Brugge;2-1;/;2-2;1-2;2-1;2-1;
Union;2-2;1-2;/;3-2;3-1;1-3;
Anderlecht;1-3;2-1;1-2;/;1-0;1-1;
Gent;2-3;1-3;2-1;0-2;/;1-2;
Antwerp;3-2;2-2;3-1;4-2;2-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Anderlecht;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Coosemans;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Genk;(ploeg);;;;;
Kampioen;Antwerp;(ploeg);;;;;
