Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-2;3-1;2-0;3-1;4-2;bv. 2-1
Club Brugge;3-2;/;3-1;3-1;2-1;4-2;
Union;0-1;2-0;/;2-1;3-1;2-0;
Anderlecht;0-2;0-2;0-2;/;1-1;3-1;
Gent;1-3;2-0;0-1;1-2;/;1-2;
Antwerp;1-2;0-2;1-1;0-1;0-3;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;3-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Penders;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Club Brugge;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
