Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;1-0;2-0;1-1;2-0;2-1;bv. 2-1
Club Brugge;1-1;/;2-0;1-1;1-0;2-0;
Union;0-0;1-1;/;2-0;1-1;1-1;
Anderlecht;0-2;0-2;2-2;/;0-1;2-0;
Gent;0-1;1-0;2-2;3-1;/;2-0;
Antwerp;0-0;0-2;3-0;0-0;2-0;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-0;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);Club;;;;
Beste ploeg van POI;Genk;(ploeg);Genk;;;;
Topscorer POI;Jutgla;(speler);Jutgla;;;;
Assistenkoning POI;Bonsu Ba;(speler);Bonsu-BA;;;;
Meeste Clean Sheats POI;Penders;(keeper);Penders;;;;
Meeste gemaakte goals POI;Genk;(ploeg);Genk;;;;
Minste goals tegen POI;Club Brugge;(ploeg);Club;;;;
Kampioen;Genk;(ploeg);Genk;;;;
