Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;1-2;3-1;2-0;2-0;1-1;bv. 2-1
Club Brugge;2-2;/;3-0;2-1;3-0;1-1;
Union;0-2;1-0;/;1-1;2-0;0-0;
Anderlecht;1-1;1-2;2-1;/;2-0;2-1;
Gent;0-2;1-1;2-0;2-1;/;2-1;
Antwerp;1-1;1-1;2-1;0-1;3-0;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;1-0;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Jashari;(speler);;;;;
Meeste Clean Sheats POI;Penders;(keeper);;;;;
Meeste gemaakte goals POI;Genk;(ploeg);;;;;
Minste goals tegen POI;Club Brugge;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
