Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-1;1-1;2-1;2-1;3-1;bv. 2-1
Club Brugge;3-1;/;3-1;2-0;3-0;3-1;
Union;1-2;0-2;/;3-1;2-2;1-1;
Anderlecht;2-0;1-1;2-1;/;2-1;2-1;
Gent;1-2;1-2;2-1;2-0;/;2-1;
Antwerp;2-2;1-0;1-1;2-3;2-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;3-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Vanaken;(speler);;;;;
Assistenkoning POI;Tzolis;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Genk;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
