Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-2;3-1;1-0;1-1;1-1;bv. 2-1
Club Brugge;2-1;/;2-2;3-1;2-0;4-0;
Union;3-2;0-1;/;2-0;1-1;0-1;
Anderlecht;1-2;0-2;1-1;/;2-0;3-1;
Gent;1-1;2-2;0-2;2-1;/;2-2;
Antwerp;2-3;1-2;2-1;2-2;2-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;3-2;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Jutgla;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Genk;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
