Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-2;2-1;0-1;3-0;4-0;bv. 2-1
Club Brugge;0-2;/;3-0;3-3;2-0;2-1;
Union;2-2;2-3;/;0-1;2-0;0-1;
Anderlecht;3-0;1-2;2-2;/;1-3;2-2;
Gent;0-3;1-2;2-2;1-0;/;3-3;
Antwerp;0-1;0-0;0-2;2-2;1-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;1-2;;;;;;
;;;;;;;
Bekerwinnaar;Anderlecht;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Promise David;(speler);;;;;
Assistenkoning POI;Steuckers;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Club Brugge;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
