Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-1;2-2;3-0;1-1;1-0;bv. 2-1
Club Brugge;2-0;/;1-2;3-1;1-1;2-0;
Union;2-0;1-1;/;1-0;2-1;2-2;
Anderlecht;1-1;0-2;0-2;/;1-0;2-1;
Gent;0-1;1-2;0-0;1-0;/;2-1;
Antwerp;1-1;1-2;1-1;2-0;2-2;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;3-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Genk;(ploeg);;;;;
Topscorer POI;Ivanovic;(speler);;;;;
Assistenkoning POI;Heynen;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Club Brugge;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
