Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;1-2;1-1;1-3;3-0;0-2;bv. 2-1
Club Brugge;3-1;/;2-0;5-2;1-0;2-2;
Union;4-1;1-1;/;1-3;2-0;0-1;
Anderlecht;3-3;1-3;0-0;/;1-1;0-1;
Gent;0-3;2-2;1-0;2-0;/;0-2;
Antwerp;0-0;2-1;1-3;0-2;1-0;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;1-0;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Moris;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Union;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
