Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;1-1;2-2;2-1;3-1;3-2;bv. 2-1
Club Brugge;2-1;/;1-1;3-2;2-1;1-1;
Union;2-2;1-0;/;1-1;2-1;3-1;
Anderlecht;0-0;1-1;0-1;/;2-2;1-1;
Gent;2-3;2-2;1-0;2-1;/;0-0;
Antwerp;0-1;0-2;1-1;1-1;2-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Genk;(ploeg);;;;;
Minste goals tegen POI;Gent;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
