Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-2;2-2;2-1;3-0;3-1;bv. 2-1
Club Brugge;3-2;/;2-1;2-1;3-0;2-1;
Union;2-2;2-2;/;3-1;3-0;2-1;
Anderlecht;1-2;1-1;1-2;/;2-2;1-1;
Gent;1-3;1-2;1-3;2-2;/;1-1;
Antwerp;1-2;2-3;1-3;1-1;2-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;;;;;;
Beste ploeg van POI;Union;;;;;;
Topscorer POI;Skoras;;;;;;
Assistenkoning POI;Sabbe;;;;;;
Meeste Clean Sheats POI;Mignolet;;;;;;
Meeste gemaakte goals POI;Union;;;;;;
Minste goals tegen POI;Club Brugge;;;;;;
Kampioen;Genk;;;;;;
