Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;3-2;1-1;2-1;3-4;3-0;bv. 2-1
Club Brugge;3-2;/;2-3;2-2;1-3;4-1;
Union;2-3;1-3;/;2-2;2-1;3-1;
Anderlecht;3-1;2-3;1-1;/;3-1;2-1;
Gent;3-2;0-4;2-3;1-3;/;3-1;
Antwerp;0-2;0-4;2-3;1-4;3-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;3-2;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Vanaken;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Penders;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Club Brugge;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
