Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-1;1-0;3-1;4-1;3-1;bv. 2-1
Club Brugge;2-1;/;2-0;4-1;1-0;3-0;
Union;2-2;1-1;/;3-1;2-0;4-1;
Anderlecht;1-2;1-2;1-1;/;2-0;2-1;
Gent;0-3;1-2;0-2;1-1;/;2-1;
Antwerp;1-4;0-1;1-2;1-1;0-0;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge; 1-2;;;;;;
;;;;;;;
Bekerwinnaar;Anderlecht;(ploeg);;;;;
Beste ploeg van POI;Genk;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Union;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
