Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-1;2-1;2-0;2-0;2-1;bv. 2-1
Club Brugge;1-1;/;2-1;2-1;2-1;2-1;
Union;0-2;1-2;/;1-1;1-1;0-2;
Anderlecht;0-2;0-1;1-1;/;0-1;0-2;
Gent;0-2;0-1;1-1;2-0;/;1-1;
Antwerp;1-2;1-1;2-1;2-1;2-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Genk;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Genk;(ploeg);;;;;
Minste goals tegen POI;Antwerp;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
