Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-2;2-1;1-0;1-0;1-1;bv. 2-1
Club Brugge;3-2;/;2-1;2-0;1-2;2-1;
Union;2-1;2-2;/;1-0;1-1;1-0;
Anderlecht;1-2;0-2;1-2;/;0-0;1-1;
Gent;0-2;1-1;1-2;1-0;/;1-1;
Antwerp;1-3;1-2;1-2;1-2;2-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;3-1    ;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Jutgla;(speler);;;;;
Meeste Clean Sheats POI;Moris;(keeper);;;;;
Meeste gemaakte goals POI;Genk;(ploeg);;;;;
Minste goals tegen POI;Union;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
