Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;1-2;2-2;3-1;3-0;3-2;bv. 2-1
Club Brugge;2-1;/;3-1;3-0;3-1;3-1;
Union;1-3;1-2;/;2-0;2-1;2-2;
Anderlecht;0-3;1-3;1-2;/;2-1;2-2;
Gent;1-3;1-3;1-3;2-2;/;1-3;
Antwerp;1-3;1-3;1-2;3-1;1-3;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;3-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Jutgla;(speler);;;;;
Assistenkoning POI;Tzolis;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Club Brugge;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
