Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;1-1;1-0;0-0;1-0;1-2;bv. 2-1
Club Brugge;3-1;/;1-1;2-0;3-0;3-2;
Union;2-0;1-2;/;2-0;1-0;1-1;
Anderlecht;2-2;1-2;0-1;/;2-0;1-0;
Gent;1-0;0-1;0-0;2-2;/;2-1;
Antwerp;2-1;2-1;1-0;2-1;1-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Moris;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Union;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
