Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp
Genk;/;1-1;2-0;1-1;2-0;2-1
Club Brugge;3-1;/;2-1;3-0;4-2;3-1
Union;2-1;2-3;/;0-0;3-0;2-1
Anderlecht;1-2;1-2;0-1;/;3-1;1-1
Gent;2-3;1-3;1-1;2-0;/;0-1
Antwerp;1-3;1-2;1-3;0-0;2-0;/
;;;;;;
Bekerfinale;Anderlecht;;;;;
Club Brugge;2-0;;;;;
;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;
Topscorer POI;Jutgla;(speler);;;;
Assistenkoning POI;Kums;(speler);;;;
Meeste Clean Sheats POI;Jackers;(keeper);;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;
Minste goals tegen POI;Genk;(ploeg);;;;
Kampioen;Club Brugge;(ploeg);;;;
