Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-2;3-1;2-0;2-0;2-0;bv. 2-1
Club Brugge;2-0;/;1-0;3-1;3-1;4-1;
Union;1-2;1-2;/;2-0;2-0;2-0;
Anderlecht;1-1;1-2;1-2;/;2-1;2-1;
Gent;2-0;0-2;2-1;1-2;/;1-2;
Antwerp;1-1;1-2;0-1;0-1;1-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;3-0;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;;;;;;
Beste ploeg van POI;Club Brugge;;;;;;
Topscorer POI;Jutgla;;;;;;
Assistenkoning POI;Vanaken;;;;;;
Meeste Clean Sheats POI;Mignolet;;;;;;
Meeste gemaakte goals POI;Club Brugge;;;;;;
Minste goals tegen POI;Club Brugge;;;;;;
Kampioen;Club Brugge;;;;;;
