Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;;;;;
Genk;/;3-2;1-0;0-1;1-1;3-0;bv. 2-1;;;;
Club Brugge;2-2;/;2-0;3-2;0-1;1-0;;;;;
Union;0-2;1-1;/;1-0;3-0;0-0;;;;;
Anderlecht;1-3;1-1;2-0;/;1-2;1-1;;;;;
Gent;1-2;0-2;1-0;0-0;/;0-1;;;;;
Antwerp;1-3;0-2;2-3;2-0;1-1;/;;;;;
;;;;;;;;;;;
Bekerfinale;Anderlecht;;;;;;;;;;
Club Brugge;3-0;;;;;;;;;;
;;;;;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;;;;;
Topscorer POI;Oh;(speler);;;;;;;;;
Assistenkoning POI;Karetsas;(speler);;;;;;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;;;;;
Meeste gemaakte goals POI;Genk;(ploeg);;;;;;;;;
Minste goals tegen POI;Club Brugge;(ploeg);;;;;;;;;
Kampioen;Genk;(ploeg);;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
