Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-1;1-1;2-0;2-1;3-1;bv. 2-1
Club Brugge;1-0;/;0-1;1-1;1-0;2-0;
Union;1-0;1-1;/;2-1;2-0;1-0;
Anderlecht;2-2;2-1;1-2;/;3-0;2-0;
Gent;0-1;2-1;1-2;1-3;/;2-3;
Antwerp;2-2;1-3;0-2;1-3;2-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;1-2;;;;;;
;;;;;;;
Bekerwinnaar;Anderlecht;(ploeg);;;;;
Beste ploeg van POI;Union;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Coosemans;(keeper);;;;;
Meeste gemaakte goals POI;Genk;(ploeg);;;;;
Minste goals tegen POI;Anderlecht;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
