Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;0-0;2-1;3-0;2-1;3-1;bv. 2-1
Club Brugge;2-1;/;2-2;2-0;1-0;4-0;
Union;0-2;2-3;/;3-1;3-1;2-1;
Anderlecht;0-3;1-2;1-4;/;1-1;2-1;
Gent;0-2;0-2;0-3;2-1;/;1-0;
Antwerp;0-3;0-2;1-2;2-0;1-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;3-0;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Genk;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Genk;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
