Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;0-2;1-0;1-0;1-1;3-1;bv. 2-1
Club Brugge;2-0;/;2-1;4-0;2-0;2-0;
Union;2-1;2-2;/;2-0;2-0;2-1;
Anderlecht;1-3;0-1;2-2;/;3-1;2-1;
Gent;1-1;1-1;1-1;1-0;/;1-1;
Antwerp;1-3;1-2;2-1;1-0;1-0;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-0;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Coosemans;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Union;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
