Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;Unnamed: 7
Genk;/;1-2;2-1;1-1;2-0;1-2;bv. 2-1
Club Brugge;2-1;/;2-2;1-0;3-1;2-1;
Union;1-2;2-2;/;2-1;1-0;1-1;
Anderlecht;1-1;0-1;1-2;/;2-2;1-1;
Gent;0-2;1-3;0-1;2-2;/;1-2;
Antwerp;2-1;1-2;1-1;1-1;2-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-1;;;;;;
;;;;;;;
Bekerwinnaar;;Club Brugge;;;;;
Beste ploeg van POI;;Union;;;;;
Topscorer POI;;Kevin Denkey;;;;;
Assistenkoning POI;;Hans Van Aken;;;;;
Meeste Clean Sheats POI;;Jean Butez;;;;;
Meeste gemaakte goals POI;;Club Brugge;;;;;
Minste goals tegen POI;;Union;;;;;
Kampioen;;Club Brugge;;;;;
