Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-2;2-1;0-1;2-0;2-1;bv. 2-1
Club Brugge;2-1;/;1-1;1-0;2-0;3-2;
Union;2-1;1-1;/;1-0;2-1;3-1;
Anderlecht;1-2;0-2;1-0;/;2-0;2-2;
Gent;1-3;1-1;0-2;1-0;/;2-1;
Antwerp;2-1;1-2;1-1;2-1;2-0;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Genk;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Genk;(ploeg);;;;;
Minste goals tegen POI;Genk;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
