Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;3-2;2-2;3-1;2-0;2-0;bv. 2-1
Club Brugge;2-1;/;1-0;1-0;2-0;1-1;
Union;0-0;2-1;/;3-1;1-0;3-1;
Anderlecht;1-3;1-1;0-2;/;2-2;2-3;
Gent;0-4;0-2;1-2;3-1;/;3-3;
Antwerp;0-2;1-3;0-1;1-1;2-2;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Genk;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Coosemans;(keeper);;;;;
Meeste gemaakte goals POI;Union;(ploeg);;;;;
Minste goals tegen POI;Club Brugge;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
