Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;1-2;2-1;3-1;2-0;2-1;bv. 2-1
Club Brugge;1-0;/;3-0;3-0;2-1;1-0;
Union;1-1;1-1;/;2-1;1-0;1-2;
Anderlecht;0-2;0-2;1-1;/;1-0;0-1;
Gent;0-1;1-2;0-1;1-0;/;0-1;
Antwerp;1-1;1-2;0-1;2-0;1-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;3-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;;;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Club Brugge;(ploeg);;;;;
Kampioen;Club Brugge;(ploeg);;;;;
