Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;1-0;2-1;1-2;1-1;2-0;bv. 2-1
Club Brugge;1-1;/;4-1;3-0;3-1;2-0;
Union;1-0;0-2;/;2-2;2-0;2-0;
Anderlecht;1-1;2-0;1-2;/;2-2;4-1;
Gent;0-2;1-0;1-1;1-0;/;3-3;
Antwerp;1-3;1-0;1-4;0-2;2-0;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;1-2;;;;;;
;;;;;;;
Bekerwinnaar;Anderlecht;(ploeg);;;;;
Beste ploeg van POI;Genk;(ploeg);;;;;
Topscorer POI;Dolberg;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Coosemans;(keeper);;;;;
Meeste gemaakte goals POI;Anderlecht;(ploeg);;;;;
Minste goals tegen POI;Union;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
