Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;1-0;1-0;1-0;3-0;2-1;bv. 2-1
Club Brugge;1-1;/;1-2;1-1;2-0;2-1;
Union;0-1;1-1;/;1-1;2-1;1-1;
Anderlecht;1-0;2-1;1-0;/;3-1;2-1;
Gent;0-2;0-2;1-2;0-2;/;1-0;
Antwerp;1-3;1-0;1-1;1-3;1-2;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;1-3;;;;;;
;;;;;;;
Bekerwinnaar;Anderlecht;(ploeg);;;;;
Beste ploeg van POI;Anderlecht;(ploeg);;;;;
Topscorer POI;Dolberg;(speler);;;;;
Assistenkoning POI;Huerta;(speler);;;;;
Meeste Clean Sheats POI;Coosemans;(keeper);;;;;
Meeste gemaakte goals POI;Anderlecht;(ploeg);;;;;
Minste goals tegen POI;Anderlecht;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
