Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp
Genk;/;1-1;2-1;2-0;1-1;1-0
Club Brugge;2-2;/;2-1;2-0;2-0;2-1
Union;1-1;1-2;/;2-1;1-0;1-1
Anderlecht;0-2;0-2;1-1;/;1-1;0-1
Gent;0-1;1-2;1-2;1-1;/;0-0
Antwerp;1-1;1-2;0-1;1-1;1-0;/
;;;;;;
Bekerfinale;Anderlecht;;;;;
Club Brugge;2-0;;;;;
;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;
Topscorer POI;Tolu;(speler);;;;
Assistenkoning POI;Vanaken;(speler);;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;
Minste goals tegen POI;Club Brugge;(ploeg);;;;
Kampioen;Genk;(ploeg);;;;
