Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;1-1;1-0;2-0;2-0;2-0;bv. 2-1
Club Brugge;1-0;/;2-1;3-0;2-1;2-0;
Union;1-1;1-1;/;1-0;1-0;2-0;
Anderlecht;0-1;0-1;0-1;/;2-0;2-2;
Gent;1-2;1-2;1-2;1-1;/;2-0;
Antwerp;1-2;1-2;1-2;0-0;4-4;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;4-0;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Vanaken;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Club Brugge;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
