Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-2;3-3;3-1;1-1;1-0;bv. 2-1
Club Brugge;1-0;/;2-0;1-0;1-3;2-2;
Union;0-1;3-1;/;1-1;4-2;2-0;
Anderlecht;0-1;2-2;1-0;/;1-1;2-1;
Gent;0-2;2-1;0-3;1-0;/;1-0;
Antwerp;1-1;0-2;0-2;2-0;3-2;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-0;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Genk;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Union;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
