Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;1-2;2-1;2-1;2-1;2-1;bv. 2-1
Club Brugge;2-1;/;2-1;2-1;2-1;2-1;
Union;1-2;1-1;/;2-1;2-1;2-1;
Anderlecht;1-2;1-1;1-1;/;2-1;2-1;
Gent;1-2;1-2;2-1;2-1;/;2-1;
Antwerp;2-1;2-1;2-1;2-1;2-1;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;2-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Jutgla;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Mignolet;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Club Brugge;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
